2026-03-18 15:01:42,913 | INFO | bob9k | Camera pan angle set to logical=44 physical=44
2026-03-18 15:01:42,966 | INFO | bob9k | Camera pan angle set to logical=46 physical=46
2026-03-18 15:01:43,018 | INFO | bob9k | Camera pan angle set to logical=48 physical=48
2026-03-18 15:01:43,193 | INFO | bob9k | Camera pan angle set to logical=50 physical=50
2026-03-18 15:01:43,245 | INFO | bob9k | Camera pan angle set to logical=52 physical=52
2026-03-18 15:01:43,298 | INFO | bob9k | Camera pan angle set to logical=54 physical=54
2026-03-18 15:01:43,471 | INFO | bob9k | Camera pan angle set to logical=56 physical=56
2026-03-18 15:01:43,524 | INFO | bob9k | Camera pan angle set to logical=58 physical=58
2026-03-18 15:01:43,576 | INFO | bob9k | Camera pan angle set to logical=60 physical=60
2026-03-18 15:01:43,755 | INFO | bob9k | Camera pan angle set to logical=62 physical=62
2026-03-18 15:01:43,807 | INFO | bob9k | Camera pan angle set to logical=64 physical=64
2026-03-18 15:01:43,860 | INFO | bob9k | Camera pan angle set to logical=66 physical=66
2026-03-18 15:01:44,036 | INFO | bob9k | Camera pan angle set to logical=68 physical=68
2026-03-18 15:01:44,090 | INFO | bob9k | Camera pan angle set to logical=70 physical=70
2026-03-18 15:01:44,141 | INFO | bob9k | Camera pan angle set to logical=72 physical=72
2026-03-18 15:01:44,328 | INFO | bob9k | Camera pan angle set to logical=74 physical=74
2026-03-18 15:01:44,380 | INFO | bob9k | Camera pan angle set to logical=76 physical=76
2026-03-18 15:01:44,433 | INFO | bob9k | Camera pan angle set to logical=78 physical=78
2026-03-18 15:01:44,637 | INFO | bob9k | Camera pan angle set to logical=80 physical=80
2026-03-18 15:01:44,691 | INFO | bob9k | Camera pan angle set to logical=82 physical=82
2026-03-18 15:01:44,743 | INFO | bob9k | Camera pan angle set to logical=84 physical=84
2026-03-18 15:01:44,938 | INFO | bob9k | Camera pan angle set to logical=86 physical=86
2026-03-18 15:01:44,990 | INFO | bob9k | Camera pan angle set to logical=88 physical=88
2026-03-18 15:01:45,043 | INFO | bob9k | Camera pan angle set to logical=90 physical=90
2026-03-18 15:01:45,238 | INFO | bob9k | Camera pan angle set to logical=92 physical=92
2026-03-18 15:01:45,292 | INFO | bob9k | Camera pan angle set to logical=94 physical=94
2026-03-18 15:01:45,343 | INFO | bob9k | Camera pan angle set to logical=96 physical=96
2026-03-18 15:01:45,530 | INFO | bob9k | Camera pan angle set to logical=98 physical=98
2026-03-18 15:01:45,582 | INFO | bob9k | Camera pan angle set to logical=100 physical=100
2026-03-18 15:01:45,636 | INFO | bob9k | Camera pan angle set to logical=102 physical=102
2026-03-18 15:01:45,818 | INFO | bob9k | Camera pan angle set to logical=104 physical=104
2026-03-18 15:01:45,872 | INFO | bob9k | Camera pan angle set to logical=106 physical=106
2026-03-18 15:01:45,924 | INFO | bob9k | Camera pan angle set to logical=108 physical=108
2026-03-18 15:01:46,114 | INFO | bob9k | Camera pan angle set to logical=110 physical=110
2026-03-18 15:01:46,165 | INFO | bob9k | Camera pan angle set to logical=112 physical=112
2026-03-18 15:01:46,219 | INFO | bob9k | Camera pan angle set to logical=114 physical=114
2026-03-18 15:01:46,419 | INFO | bob9k | Camera pan angle set to logical=116 physical=116
2026-03-18 15:01:46,473 | INFO | bob9k | Camera pan angle set to logical=118 physical=118
2026-03-18 15:01:46,525 | INFO | bob9k | Camera pan angle set to logical=120 physical=120
2026-03-18 15:01:46,742 | INFO | bob9k | Camera pan angle set to logical=122 physical=122
2026-03-18 15:01:46,794 | INFO | bob9k | Camera pan angle set to logical=124 physical=124
2026-03-18 15:01:46,848 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:47,071 | INFO | bob9k | Camera pan angle set to logical=128 physical=128
2026-03-18 15:01:47,125 | INFO | bob9k | Camera pan angle set to logical=130 physical=130
2026-03-18 15:01:47,177 | INFO | bob9k | Camera pan angle set to logical=132 physical=132
2026-03-18 15:01:47,397 | INFO | bob9k | Camera pan angle set to logical=134 physical=134
2026-03-18 15:01:47,448 | INFO | bob9k | Camera pan angle set to logical=136 physical=136
2026-03-18 15:01:47,502 | INFO | bob9k | Camera pan angle set to logical=138 physical=138
2026-03-18 15:01:47,712 | INFO | bob9k | Camera pan angle set to logical=140 physical=140
2026-03-18 15:01:47,766 | INFO | bob9k | Camera pan angle set to logical=138 physical=138
2026-03-18 15:01:47,817 | INFO | bob9k | Camera pan angle set to logical=136 physical=136
2026-03-18 15:01:48,029 | INFO | bob9k | Camera pan angle set to logical=134 physical=134
2026-03-18 15:01:48,080 | INFO | bob9k | Camera pan angle set to logical=132 physical=132
2026-03-18 15:01:48,134 | INFO | bob9k | Camera pan angle set to logical=130 physical=130
2026-03-18 15:01:48,349 | INFO | bob9k | Camera pan angle set to logical=128 physical=128
2026-03-18 15:01:48,403 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:48,455 | INFO | bob9k | Camera pan angle set to logical=124 physical=124
2026-03-18 15:01:48,671 | INFO | bob9k | Camera pan angle set to logical=122 physical=122
2026-03-18 15:01:48,722 | INFO | bob9k | Camera pan angle set to logical=120 physical=120
2026-03-18 15:01:48,776 | INFO | bob9k | Camera pan angle set to logical=118 physical=118
2026-03-18 15:01:49,030 | INFO | bob9k | Camera pan angle set to logical=116 physical=116
2026-03-18 15:01:49,084 | INFO | bob9k | Camera pan angle set to logical=114 physical=114
2026-03-18 15:01:49,135 | INFO | bob9k | Camera pan angle set to logical=112 physical=112
2026-03-18 15:01:49,542 | INFO | bob9k | Camera pan angle set to logical=110 physical=110
2026-03-18 15:01:49,594 | INFO | bob9k | Camera pan angle set to logical=108 physical=108
2026-03-18 15:01:49,648 | INFO | bob9k | Camera pan angle set to logical=106 physical=106
2026-03-18 15:01:49,881 | INFO | bob9k | Camera pan angle set to logical=104 physical=104
2026-03-18 15:01:49,935 | INFO | bob9k | Camera pan angle set to logical=102 physical=102
2026-03-18 15:01:49,986 | INFO | bob9k | Camera pan angle set to logical=100 physical=100
2026-03-18 15:01:50,183 | INFO | bob9k | Camera pan angle set to logical=98 physical=98
2026-03-18 15:01:50,235 | INFO | bob9k | Camera pan angle set to logical=96 physical=96
2026-03-18 15:01:50,288 | INFO | bob9k | Camera pan angle set to logical=94 physical=94
2026-03-18 15:01:50,472 | INFO | bob9k | Camera pan angle set to logical=92 physical=92
2026-03-18 15:01:50,526 | INFO | bob9k | Camera pan angle set to logical=90 physical=90
2026-03-18 15:01:50,578 | INFO | bob9k | Camera pan angle set to logical=88 physical=88
2026-03-18 15:01:50,771 | INFO | bob9k | Camera pan angle set to logical=86 physical=86
2026-03-18 15:01:50,771 | INFO | bob9k | Tracking stats: fps=6.68 rss_mb=138.6 detector=face status=ready detections=0 clients=1 tracking=True
2026-03-18 15:01:50,823 | INFO | bob9k | Camera pan angle set to logical=84 physical=84
2026-03-18 15:01:50,877 | INFO | bob9k | Camera pan angle set to logical=82 physical=82
2026-03-18 15:01:51,071 | INFO | bob9k | Camera pan angle set to logical=80 physical=80
2026-03-18 15:01:51,125 | INFO | bob9k | Camera pan angle set to logical=78 physical=78
2026-03-18 15:01:51,177 | INFO | bob9k | Camera pan angle set to logical=76 physical=76
2026-03-18 15:01:51,373 | INFO | bob9k | Camera pan angle set to logical=74 physical=74
2026-03-18 15:01:51,424 | INFO | bob9k | Camera pan angle set to logical=72 physical=72
2026-03-18 15:01:51,478 | INFO | bob9k | Camera pan angle set to logical=70 physical=70
2026-03-18 15:01:51,666 | INFO | bob9k | Camera pan angle set to logical=68 physical=68
2026-03-18 15:01:51,720 | INFO | bob9k | Camera pan angle set to logical=66 physical=66
2026-03-18 15:01:51,772 | INFO | bob9k | Camera pan angle set to logical=64 physical=64
2026-03-18 15:01:51,957 | INFO | bob9k | Camera pan angle set to logical=62 physical=62
2026-03-18 15:01:52,009 | INFO | bob9k | Camera pan angle set to logical=60 physical=60
2026-03-18 15:01:52,062 | INFO | bob9k | Camera pan angle set to logical=58 physical=58
2026-03-18 15:01:52,258 | INFO | bob9k | Camera pan angle set to logical=56 physical=56
2026-03-18 15:01:52,312 | INFO | bob9k | Camera pan angle set to logical=54 physical=54
2026-03-18 15:01:52,364 | INFO | bob9k | Camera pan angle set to logical=52 physical=52
2026-03-18 15:01:52,612 | INFO | bob9k | Camera pan angle set to logical=50 physical=50
2026-03-18 15:01:52,663 | INFO | bob9k | Camera pan angle set to logical=48 physical=48
2026-03-18 15:01:52,717 | INFO | bob9k | Camera pan angle set to logical=46 physical=46
2026-03-18 15:01:52,971 | INFO | bob9k | Camera pan angle set to logical=43 physical=43
2026-03-18 15:01:52,972 | INFO | bob9k | Camera tilt angle set to logical=129 physical=129
2026-03-18 15:01:53,026 | INFO | bob9k | Camera pan angle set to logical=40 physical=40
2026-03-18 15:01:53,026 | INFO | bob9k | Camera tilt angle set to logical=132 physical=132
2026-03-18 15:01:53,078 | INFO | bob9k | Camera pan angle set to logical=40 physical=40
